new entry "Jump_TacticalRetreat"
type "SkillData"
data "SkillType" "Jump"
data "ForGameMaster" "Yes"
data "Ability" "Ranger"
data "Tier" "Novice"
data "ActionPoints" "1"
data "Cooldown" "4"
data "SkillProperties" "SELF:OdinHUN_NIMBLE,100,2"
data "TargetRadius" "13"
data "Damage On Jump" "No"
data "Damage On Landing" "No"
data "Icon" "Skill_Ranger_TacticalRetreat"
data "DisplayName" "Jump_TacticalRetreat_DisplayName"
data "DisplayNameRef" "Tactical Retreat"
data "Description" "Jump_TacticalRetreat_Description"
data "DescriptionRef" "Jump to target position and become <font color='#81AB00'>Nimble</font>, providing <font color='#75b907'>[1]% Movement Speed</font> and <font color='#75b907'>[2]% Accuracy</font> for its duration."
data "StatsDescription" "Jump_TacticalRetreat_StatsDescription"
data "StatsDescriptionRef" "Range: [1]"
data "StatsDescriptionParams" "Potion:Stats_OdinHUN_Nimble:MovementSpeedBoost;Potion:Stats_OdinHUN_Nimble:AccuracyBoost"
data "FXScale" "100"
data "PrepareAnimationInit" "skill_prepare_air_01_start"
data "PrepareAnimationLoop" "skill_prepare_air_01_loop"
data "PrepareEffect" "RS3_FX_Skills_Air_Wind_Prepare_Hand_01:Dummy_BodyFX;RS3_FX_Skills_Air_Wind_Prepare_Ground_01:Dummy_BodyFX;RS3_FX_Skills_Air_Lightning_Prepare_Hand_01:Dummy_CastFX;RS3_FX_Skills_Air_Lightning_Overlay_Loop_01"
data "CastAnimation" "skill_cast_teleport_air_01_cast"
data "CastTextEvent" "cast"
data "TeleportTextEvent" "teleport"
data "CastEffect" "RS3_FX_Skills_Air_Wind_Cast_Ground_02:root:cast;RS3_FX_Skills_Air_Wind_TakeOff_01:Dummy_Root:teleport_start;RS3_FX_Skills_Air_Wind_Landing_01:Dummy_Root:teleport_end"
data "PreviewEffect" "RS3_FX_UI_TargetPreviewer_Air_01"
data "Memory Cost" "1"
data "Magic Cost" "0"
data "Requirements" "!Immobile"
data "MemorizationRequirements" "RangerLore 2"

