new entry "ProjectileStrike_RainOfArrows"
type "SkillData"
data "SkillType" "ProjectileStrike"
data "ForGameMaster" "Yes"
data "Ability" "Ranger"
data "Tier" "Master"
data "Requirement" "RangedWeapon"
data "ActionPoints" "3"
data "Cooldown" "4"
data "Damage Multiplier" "45"
data "TargetRadius" "13"
data "AreaRadius" "5"
data "DeathType" "Arrow"
data "ExplodeRadius" "2"
data "StrikeCount" "12"
data "StrikeDelay" "150"
data "CanTargetCharacters" "Yes"
data "CanTargetItems" "Yes"
data "CanTargetTerrain" "Yes"
data "ForceTarget" "Yes"
data "TargetConditions" "Enemy"
data "OverrideSkillLevel" "No"
data "UseCharacterStats" "Yes"
data "UseWeaponDamage" "Yes"
data "UseWeaponProperties" "Yes"
data "TargetProjectiles" "Yes"
data "ProjectileCount" "1"
data "ProjectileDelay" "0"
data "Angle" "0"
data "Height" "15"
data "SingleSource" "No"
data "Template" "08a0ee7a-4437-4728-8551-17d5c6ab276e"
data "Icon" "Skill_Ranger_ArrowStorm"
data "DisplayName" "ProjectileStrike_RainOfArrows_DisplayName"
data "DisplayNameRef" "Arrow Storm"
data "Description" "ProjectileStrike_RainOfArrows_Description"
data "DescriptionRef" "Rain [1] arrows down on the target area, each dealing [2]."
data "StatsDescriptionParams" "StrikeCount;Damage"
data "PrepareAnimationInit" "skill_prepare_weapon_01_start"
data "PrepareAnimationLoop" "skill_prepare_weapon_01_loop"
data "PrepareEffect" "RS3_FX_Skills_Air_Prepare_Weapon_ArrowStorm_Root_01,KeepRot,Detach:Dummy_Root;RS3_FX_Skills_Air_Prepare_Weapon_ArrowStorm_ArrowFX_01:Dummy_ArrowFX"
data "CastAnimation" "skill_attack_aoe_01_cast"
data "CastTextEvent" "cast"
data "CastEffect" "RS3_FX_Skills_Air_Attack_Aoe_Cast_ArrowStorm_ArrowFX_01:Dummy_ProjectileFX:cast;RS3_FX_Skills_Air_Attack_Aoe_Cast_ArrowStorm_SFX_01:root:sfx"
data "PreviewEffect" "RS3_FX_UI_Target_Projectile_Water_01"
data "MemorizationRequirements" "RangerLore 5"
data "Memory Cost" "3"
data "Magic Cost" "3"
data "Distribution" "Normal"
data "Shuffle" "No"
data "CycleConditions" "Enemy;!Dead"

